app_id,title,rating,rating_score,genres,metacritic_score
250760,Shovel Knight: Treasure Trove,Overwhelmingly Positive,93.53,"Action,Adventure,Indie",85
1384160,GUILTY GEAR -STRIVE-,Very Positive,89.69,Action,85
41060,Serious Sam Classic: The Second Encounter,Overwhelmingly Positive,91.21,"Action,Indie",85
1850570,DEATH STRANDING DIRECTOR'S CUT,Very Positive,91.02,"Action,Adventure",85
40700,Machinarium,Overwhelmingly Positive,92.89,"Adventure,Indie",85
719040,Wasteland 3,Very Positive,82.31,"RPG,Strategy",85
762610,Russian Subway Dogs,Very Positive,88.81,"Action,Indie",85
366970,Mighty Switch Force! Hyper Drive Edition,Very Positive,84.62,"Action,Indie",85
753640,Outer Wilds,Overwhelmingly Positive,93.66,"Action,Adventure",85
584400,Sonic Mania,Very Positive,91.25,"Action,Adventure,Casual",84
381780,80 Days,Very Positive,86.83,"Adventure,Indie,Strategy",84
1091980,The Bard's Tale IV: Director's Cut,Mostly Positive,73.68,RPG,84
374190,Infernax,Very Positive,88.26,"Action,Adventure,Indie,RPG",84
1135690,Unpacking,Very Positive,90.22,"Casual,Indie,Simulation",84
2920,Sub Command,Mostly Positive,68.72,Strategy,84
590690,Sprint Vector,Very Positive,79.51,"Action,Indie,Racing,Sports",84
390290,Bulb Boy,Very Positive,84.51,"Adventure,Indie",84
307780,Mortal Kombat X,Very Positive,82.37,Action,84
762830,Telling Lies,Mixed,63.64,"Adventure,Indie,Simulation",84
1747050,Sam & Max: Beyond Time and Space,Very Positive,88.47,"Adventure,Indie",84
39120,RIFT,Mostly Positive,73.07,"Free to Play,Massively Multiplayer,RPG",84
716500,Eliza,Very Positive,86.65,Indie,84
493340,Planet Coaster,Very Positive,89.63,"Action,Adventure,Casual,Simulation,Strategy",84
323190,Frostpunk,Very Positive,90.48,"Simulation,Strategy",84
1520,DEFCON,Very Positive,83.95,"Indie,Strategy",84
20820,Shatter,Overwhelmingly Positive,88.85,"Action,Indie",84
311690,Enter the Gungeon,Overwhelmingly Positive,94.38,"Action,Adventure,Indie",84
897820,Reigns: Game of Thrones,Mostly Positive,74.6,"Adventure,Indie,RPG",84
985890,Streets of Rage 4,Very Positive,90.17,"Action,Indie",84
257850,Hyper Light Drifter,Very Positive,91.2,"Action,Adventure,Indie,RPG",84
795420,The Darkside Detective: A Fumble in the Dark,Overwhelmingly Positive,91.33,"Adventure,Casual,Indie",84
1046400,Astalon: Tears of the Earth,Very Positive,88.24,"Action,Adventure",84
583470,The End Is Nigh,Very Positive,89.62,"Action,Adventure,Indie",84
306660,Ultimate General: Gettysburg,Very Positive,78.17,"Indie,Simulation,Strategy",84
534550,Guacamelee! 2,Very Positive,87.24,"Action,Adventure,Indie",84
1116780,Shovel Knight: King of Cards,Very Positive,81.83,"Action,Adventure,Indie",84
553640,ICEY,Very Positive,88.71,"Action,Adventure,RPG",84
900270,Reventure,Overwhelmingly Positive,91.84,"Adventure,Indie",84
377840,FINAL FANTASY IX,Very Positive,91.45,RPG,84
253750,Ikaruga,Very Positive,90.06,"Action,Indie",84
601840,Griftlands,Very Positive,92.18,Indie,84
1062110,UNSIGHTED,Very Positive,89.08,"Action,Adventure,Indie,RPG",84
1054490,Wingspan,Very Positive,91.12,"Indie,Strategy",84
813780,Age of Empires II: Definitive Edition,Very Positive,93.46,Strategy,84
55230,Saints Row: The Third,Overwhelmingly Positive,94.26,Action,84
327740,TRON 2.0,Very Positive,84.52,Action,84
404540,Nex Machina,Very Positive,83.46,"Action,Indie",84
22380,Fallout: New Vegas,Overwhelmingly Positive,95.23,"Action,RPG",84
39120,RIFT,Mostly Positive,73.07,"Free to Play,Massively Multiplayer,RPG",84
1649080,Two Point Campus,Very Positive,83.16,"Indie,Simulation",84
207140,SpeedRunners,Very Positive,92.04,"Action,Casual,Indie,Racing,Sports",84
557600,Gorogoa,Overwhelmingly Positive,94.9,"Adventure,Casual,Indie",84
334940,Yoku's Island Express,Overwhelmingly Positive,92.3,"Adventure,Indie",84
283640,Salt and Sanctuary,Very Positive,88.0,"Action,Indie,RPG",84
376300,GUILTY GEAR Xrd -SIGN-,Very Positive,87.06,Action,84
814360,Mythic Ocean,Very Positive,85.37,"Adventure,Indie",84
212680,FTL: Faster Than Light,Overwhelmingly Positive,94.1,"Indie,Simulation,Strategy",84
485510,Nioh: Complete Edition,Mostly Positive,79.0,"Action,RPG",84
559210,Rakuen,Overwhelmingly Positive,93.03,"Adventure,Indie,RPG",84
874260,The Forgotten City,Overwhelmingly Positive,93.29,"Adventure,Indie,RPG",84
1060600,Lair of the Clockwork God,Very Positive,88.17,"Action,Adventure,Casual,Indie",84
1640,Disciples II: Gallean's Return,Very Positive,78.32,Strategy,84
282140,SOMA,Overwhelmingly Positive,94.0,"Action,Adventure,Indie",84
690790,DiRT Rally 2.0,Very Positive,85.18,"Racing,Simulation,Sports",84
362890,Black Mesa,Overwhelmingly Positive,94.01,"Action,Adventure,Indie",84
316790,Grim Fandango Remastered,Very Positive,87.67,Adventure,84
246960,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,Very Positive,76.91,"Action,Indie",84
1138850,Heavenly Bodies,Overwhelmingly Positive,91.52,"Action,Adventure,Indie,Simulation",84
92800,SpaceChem,Overwhelmingly Positive,88.72,"Indie,Simulation",84
8190,Just Cause 2,Very Positive,89.29,"Action,Adventure",84
1456880,ElecHead,Overwhelmingly Positive,91.21,"Action,Adventure,Indie",84
740130,Tales of Arise,Very Positive,87.96,"Action,RPG",84
683320,GRIS,Overwhelmingly Positive,94.92,"Adventure,Indie",84
47920,Shift 2 Unleashed,Mixed,65.65,Racing,84
113200,The Binding of Isaac,Overwhelmingly Positive,93.63,"Action,Adventure,Indie,RPG",84
514340,Aliens Go Home Run,Positive,80.47,"Action,Indie",84
377160,Fallout 4,Very Positive,81.46,RPG,84
1223500,Umurangi Generation,Very Positive,87.52,"Casual,Indie,Simulation",84
660160,Field of Glory II,Very Positive,83.41,"Simulation,Strategy",84
218230,PlanetSide 2,Very Positive,80.55,"Action,Free to Play,Massively Multiplayer",84
981430,Gordian Quest,Very Positive,87.44,"Adventure,Indie,RPG,Strategy",84
530390,Slayaway Camp,Overwhelmingly Positive,89.15,"Casual,Indie,Strategy",83
235460,METAL GEAR RISING: REVENGEANCE,Overwhelmingly Positive,94.23,Action,83
503400,Four Last Things,Overwhelmingly Positive,89.85,"Adventure,Indie",83
730,Counter-Strike: Global Offensive,Very Positive,88.29,"Action,Free to Play",83
396350,Bleed 2,Very Positive,89.74,"Action,Indie",83
200900,Cave Story+,Very Positive,90.29,"Action,Adventure,Indie",83
1235140,Yakuza: Like a Dragon,Overwhelmingly Positive,93.46,"Action,Adventure,RPG",83
572410,Steel Division: Normandy 44,Mostly Positive,72.69,"Action,Simulation,Strategy",83
593640,Papetura,Very Positive,87.2,"Adventure,Casual,Indie",83
204030,Fable - The Lost Chapters,Very Positive,89.42,"Action,Adventure,RPG",83
603960,Monolith,Overwhelmingly Positive,92.93,"Action,Indie",83
1229580,Disc Room,Very Positive,88.18,"Action,Adventure,Indie",83
204060,Superbrothers: Sword & Sworcery EP,Mostly Positive,74.78,"Adventure,Indie",83
1196590,Resident Evil Village,Overwhelmingly Positive,94.28,Action,83
980300,One Finger Death Punch 2,Overwhelmingly Positive,92.84,"Action,Casual,Indie",83
1621310,Atelier Sophie 2: The Alchemist of the Mysterious Dream,Overwhelmingly Positive,90.18,RPG,83
348490,Beyond Sol,Mostly Positive,72.29,"Action,Indie,Strategy",83
248310,Freedom Planet,Overwhelmingly Positive,91.64,"Action,Indie",83
1057800,Floppy Knights,Very Positive,78.77,"Indie,Strategy",83
447150,APE OUT,Very Positive,90.48,"Action,Indie",83
108710,Alan Wake,Very Positive,89.16,"Action,Adventure",83
1954200,Kena: Bridge of Spirits,Very Positive,89.74,"Action,Adventure,Indie",83
242760,The Forest,Overwhelmingly Positive,94.55,"Action,Adventure,Indie,Simulation",83
254320,Duskers,Very Positive,85.91,"Indie,Simulation,Strategy",83
676820,Subsurface Circular,Overwhelmingly Positive,89.72,"Adventure,Casual,Indie",83
324160,CLANNAD,Overwhelmingly Positive,95.11,"Adventure,Casual",83
20710,Mr. Robot,Very Positive,74.22,"Action,Indie,Strategy",83
1229380,Everhood,Overwhelmingly Positive,92.77,"Action,Adventure,Indie,RPG",83
785790,WHAT THE GOLF?,Very Positive,89.71,"Action,Adventure,Casual,Indie,Simulation",83
1000010,Crown Trick,Very Positive,83.57,"Adventure,Indie,RPG,Strategy",83
555220,Detention,Overwhelmingly Positive,79.19,"Adventure,Indie",83
603960,Monolith,Overwhelmingly Positive,92.93,"Action,Indie",83
278640,Terrian Saga: KR-17,Mostly Positive,69.53,"Action,Adventure,Indie",83
1574580,Strange Horticulture,Overwhelmingly Positive,92.33,"Adventure,Simulation",83
1451120,Sunlight,Very Positive,75.13,"Adventure,Indie",83
1158850,The Great Ace Attorney Chronicles,Very Positive,91.47,Adventure,83
1484280,Demeo,Very Positive,87.52,"Adventure,Indie,RPG,Strategy",83
413420,Danganronpa 2: Goodbye Despair,Overwhelmingly Positive,94.12,Adventure,83
925930,Myst III: Exile,Very Positive,86.4,"Adventure,Casual",83
1085660,Destiny 2,Very Positive,82.53,"Action,Adventure,Free to Play",83
535930,Two Point Hospital,Very Positive,89.77,"Indie,Simulation",83
8600,RACE 07,Very Positive,81.52,Racing,83
230980,Starseed Pilgrim,Mostly Positive,58.19,"Adventure,Indie",83
339090,Pig Eat Ball,Positive,84.48,"Adventure,Indie",83
790820,Valkyria Chronicles 4 Complete Edition,Very Positive,84.74,"Action,RPG,Strategy",83
219990,Grim Dawn,Very Positive,92.13,"Action,Adventure,Indie,RPG",83
16810,Sid Meier's Civilization IV: Colonization,Very Positive,81.37,Strategy,83
201790,Orcs Must Die! 2,Very Positive,91.44,"Action,Adventure,Indie,RPG,Strategy",83
41500,Torchlight,Very Positive,88.6,RPG,83
201230,EverQuest II,Mostly Positive,75.81,"Free to Play,Massively Multiplayer,RPG",83
617830,SUPERHOT VR,Very Positive,72.12,"Action,Indie",83
105600,Terraria,Overwhelmingly Positive,97.05,"Action,Adventure,Indie,RPG",83
414340,Hellblade: Senua's Sacrifice,Very Positive,89.65,"Action,Adventure,Indie",83
245170,Skullgirls 2nd Encore,Overwhelmingly Positive,92.05,"Action,Indie",83
844590,Hypnospace Outlaw,Overwhelmingly Positive,93.36,Simulation,83
1617030,tERRORbane,Very Positive,81.88,"Adventure,Indie",83
394360,Hearts of Iron IV,Very Positive,90.86,"Simulation,Strategy",83
847370,Sunset Overdrive,Very Positive,87.69,"Action,Adventure",83
295750,The Floor is Jelly,Very Positive,77.74,Indie,83
551700,Gunheart,Mostly Positive,73.05,"Action,Indie",83
39210,FINAL FANTASY XIV Online,Very Positive,87.24,"Massively Multiplayer,RPG",83
237930,Transistor,Very Positive,92.34,"Action,Indie,RPG",83
233450,Prison Architect,Very Positive,88.8,"Indie,Simulation,Strategy",83
418370,Resident Evil 7 Biohazard,Overwhelmingly Positive,93.42,"Action,Adventure",83
2300,DOOM II,Overwhelmingly Positive,91.92,Action,83
764790,The Messenger,Very Positive,91.28,"Action,Indie",83
282070,This War of Mine,Very Positive,91.61,"Adventure,Indie,Simulation",83
885000,Synth Riders,Very Positive,87.99,"Action,Casual,Indie",83
436670,The Legend of Heroes: Trails in the Sky the 3rd,Very Positive,89.4,RPG,83
1079800,Pistol Whip,Very Positive,89.49,"Action,Indie",83
